emp_id,emp_first_name,emp_last_name,emp_hire_date,emp_salary,emp_email,emp_bank_acct_no,emp_gender,emp_lang,emp_ssn,emp_address
396,Megan,Robinson,1971-02-25,210000,autumn99@boone.com,EXJM11262850885985,Other,cv_RU,427-99-7221,"8 Glen mount
West Rickyport
EN2M 1UW"
460,Matthew,Simmons,1979-05-14,85000,phenry@stanley-jones.com,AAXU84602834531042,F,lt_LT,868-49-1423,"332 Barry lane
North Bernardhaven
BR50 8UW"
264,Clifford,Jacobs,1976-08-20,120000,pauledward@rodriguez.com,IPJN83175804015994,F,hi_IN,315-64-0361,"462 Hughes key
Annchester
PA4W 6PL"
17,Anne,Jordan,1979-01-22,110000,sean70@hotmail.com,VOAY23749297498936,F,yue_HK,425-42-2277,"84 Cooke plain
East Diane
N74 7YA"
848,Sarah,Myers,1994-08-11,240000,brittanywilliams@yahoo.com,GDEV92470415288756,M,fa_IR,590-24-6070,"94034 George Prairie
Ericview, AL 65506"
880,Dawn,Marks,2011-11-25,200000,jordanlee@hotmail.com,VZMH66163385478736,M,nb_NO,813-01-4422,"70676 Friedman Isle
Delgadochester, AS 11246"
510,Samuel,Wilson,1986-07-25,45000,lee02@thompson-jackson.biz,KUER68326610934773,M,sr_RS,ZZ 938266 T,"3903 Gamble Highway Apt. 656
Carrfort, KY 84778"
837,Eric,Dennis,2003-03-25,175000,jordandaniel@wade.info,MXQX07708309500723,F,ml_IN,ZZ445256T,"061 Raymond Fort
Edwardsville, PR 91745"
965,Alan,Kaiser,1970-07-05,150000,marsdenjodie@hotmail.co.uk,ORDF48471608118696,F,fil_PH,256-43-3691,"Studio 03N
Amy canyon
South Howard
B57 4RF"
388,Wayne,Taylor,2002-08-01,150000,alyssa64@gmail.com,UWSC72515530874928,Other,ber_DZ,ZZ 475807 T,"98 Joseph drives
New Lorraine
G5 1ZP"
238,Melissa,Payne,1982-11-18,100000,mhouse@franco-mosley.com,UOXK78377092447601,M,pa_PK,713-12-9545,"Unit 8453 Box 3240
DPO AA 94702"
849,Karl,Smart,1977-08-29,220000,thomas42@hayes.org,ONLV39867315007947,Other,fr_CA,ZZ 432243 T,"90858 Roberts Brook
Tracyton, WA 13482"
244,Russell,Price,1974-12-04,100000,hprice@gentry.com,IUWP39740009952589,F,mt_MT,253-02-7368,"Flat 42C
Johnson street
Terryton
SG2H 8XW"
612,Malcolm,Mercer,1984-06-25,200000,hancockronald@hotmail.com,VIJX81965118601365,F,he_IL,ZZ 002772 T,"Studio 61
Jonathan mews
South Tracy
SL3 4TR"
729,Julia,Ritter,2022-06-02,155000,yward@yahoo.co.uk,DCOT28574512944972,F,mr_IN,ZZ113587T,"348 David Creek
New Jacob, AS 06418"
844,Eileen,Foster,2015-01-27,95000,speters@hotmail.com,BSGZ19895220850036,F,bs_BA,119-56-8350,"2 Jason bypass
Brendaland
HX0E 8ED"
692,Annette,Johnson,1999-10-03,40000,brownkathleen@ramirez.biz,DVUE29445416155684,Other,nb_NO,ZZ 41 32 55 T,"136 Hill shoals
Iainport
DE15 3RN"
291,Tom,Arnold,1977-02-09,170000,joanna59@reed.info,ZJOP19741256638179,F,am_ET,ZZ 193504 T,"011 Carlson View Suite 364
New Jeffery, WA 08086"
896,Claire,Adams,2012-01-04,65000,waltersdylan@harris.co.uk,IKTO80147027435034,Other,iu_CA,297-45-1107,"PSC 9720, Box 7082
APO AP 82500"
821,Damien,Wright,2011-12-10,110000,jay98@ballard.com,EVKG23162360909262,Other,sr_RS,704-59-8324,"Studio 41R
Davies unions
Kennethtown
CW7V 0ZH"
636,Carolyn,Delgado,2016-06-19,145000,michellemccarty@gmail.com,FJBC79556189211826,Other,ms_MY,857-71-3294,"Flat 79
Matthews plains
Rickybury
N1 6HP"
510,Bruce,Kelley,1975-11-14,200000,jason24@miller.com,ANQI56149908993004,F,si_LK,108-68-9689,"4 Burton fall
West Peterstad
W2 4HJ"
285,Angela,Mills,2021-06-06,170000,bethanbarnes@hotmail.com,PZOU84274334034968,Other,mr_IN,ZZ091394T,"832 Trevor port
New Gregoryshire
UB0 0AQ"
617,Edward,Gilbert,1975-06-29,165000,suzannewood@marshall.com,ORYQ85280147730299,F,uz_UZ,ZZ 766062 T,"5 Woods junctions
Jodieshire
L00 0JF"
815,Holly,Johnson,1997-12-29,70000,sharon29@oliver.com,JVBU81501446922595,M,sv_SE,ZZ860967T,"82927 James Mission Suite 166
Keithbury, SD 84326"
